rank,ticker,company,sector,market_cap,latest_fiscal_year,status
314,KOHP,"Kohinoor Power Company Limited","Power Generation & Distribution",382158000,2026,"basis 2025 FY"
315,DAAG,"Data Agro Limited","Chemical",365200000,2026,"basis 2025 FY"
316,ELCM,"Elahi Cotton Mills Limited","Textile Spinning",349765000,2026,"basis 2025 FY"
317,BUXL,"Buxly Paints Limited","Chemical",328219200,2026,"basis 2025 FY"
318,FIBLM,"First IBL Modaraba","Modarabas",286708750,2026,"ok"
319,GEMPAPL,"Pak Agro Packaging Limited(GEM)","Paper, Board & Packaging",265000000,2026,"basis 2025 FY"
320,FPJM,"First Punjab Modaraba","Modarabas",262294200,2026,"ok"
321,BAPL,"Bawany Air Products Limited","Chemical",256435790,2026,"basis 2024 FY"
322,TSPL,"Tri-Star Power Limited","Power Generation & Distribution",247050000,2026,"ok"
323,LEUL,"Leather Up Limited","Leather & Tanneries",244500000,2026,"basis 2025 FY"
324,FPRM,"First Paramount Modaraba","Modarabas",220476800,2026,"basis 2025 FY"
325,FECM,"First Elite Capital Modaraba","Modarabas",204233400,2026,"ok"
326,PAKL,"Pak Leather Crafts Limited","Leather & Tanneries",169728000,2026,"ok"
327,FANM,"First Al-Noor Modaraba","Modarabas",168630000,2026,"basis 2024 FY"
328,BFMOD,"B.F. Modaraba","Modarabas",167888630,2026,"basis 2025 FY"
329,BELA,"Bela Automotives Limited","Automobile Parts & Accessories",0,2025,"STALE FY2025"
330,AGIC,"Askari General Insurance Company Limited","Insurance",0,2026,"basis 2026 Q1"
331,AHCL,"Arif Habib Corporation Limited","Fertilizer",0,2026,"basis 2026 9M"
332,ALAC,"Askari Life Assurance Company Limited","Insurance",0,2026,"basis 2026 Q1"
333,ALIFE,"Adamjee Life Assurance Company Limited","Insurance",0,2026,"basis 2025 FY"
334,AMTEX,"Amtex Limited","Textile Spinning",0,2026,"basis 2025 FY"
335,CENI,"Century Insurance Company Limited","Insurance",0,2026,"basis 2026 Q1"
336,EFUG,"EFU General Insurance Limited","Insurance",0,2026,"basis 2026 Q1"
337,EFUL,"EFU Life Assurance Limited","Insurance",0,2026,"basis 2026 Q1"
338,ESBL,"Escorts Investment Bank Limited","Inv. Banks / Inv. Cos. / Securities Cos.",0,2026,"ok"
339,EWIC,"East West Insurance Company Limited","Insurance",0,2026,"basis 2025 FY"
340,FCEL,"First Capital Equities Limited","Inv. Banks / Inv. Cos. / Securities Cos.",0,,"NO DATA"
341,FCIBL,"First Credit and Investment Bank Limited","Inv. Banks / Inv. Cos. / Securities Cos.",0,2026,"basis 2026 Q1"
342,GAMON,"Gammon Pakistan Limited","Miscellaneous",0,2026,"basis 2024 FY"
343,GCWLR,"Ghani Chemworld Limited Right","Chemical",0,,"NO DATA"
344,GEMMEL,"Mughal Energy Limited(GEM)","Power Generation & Distribution",0,2025,"STALE FY2025"
345,GLPL,"Gillette Pakistan Limited","Food & Personal Care Products",0,2026,"ok"
346,GRYL,"Grays Leasing Limited","Leasing Companies",0,2026,"basis 2026 Q3"
347,HICL,"Habib Insurance Company Limited","Insurance",0,2026,"basis 2025 FY"
348,HIRAT,"Hira Textile Mills Limited","Textile Spinning",0,2025,"STALE FY2025"
349,HUSI,"Husein Industries Limited","Property",0,,"NO DATA"
350,IPAK,"International Packaging Films Limited","Paper, Board & Packaging",0,2026,"basis 2025 FY"
351,ISTM,"Ishaq Textile Mills Limited","Textile Composite",0,2018,"STALE FY2018"
352,JGICL,"Jubilee General Insurance Company Ltd.","Insurance",0,2026,"basis 2025 FY"
353,JLICL,"Jubilee Life Insurance Company Limited","Insurance",0,2026,"basis 2026 Q1"
354,JSRR,"JS Rental REIT","Real Estate Investment Trust",0,,"NO DATA"
355,JUBS,"Jubilee Spinning & Weaving Mills Ltd.","Textile Composite",0,2026,"basis 2025 FY"
356,KOIL,"Kohinoor Industries Limited","Textile Composite",0,2026,"basis 2026 Q3"
357,KSTM,"Khalid Siraj Textile Mills Limited","Textile Spinning",0,2026,"ok"
358,LSECL,"LSE Capital Limited.","Inv. Banks / Inv. Cos. / Securities Cos.",0,2026,"basis 2026 9M"
359,LSEFSL,"LSE Financial Services Limited.","Inv. Banks / Inv. Cos. / Securities Cos.",0,2026,"basis 2026 Q3"
360,LSEVL,"LSE Ventures Limited","Inv. Banks / Inv. Cos. / Securities Cos.",0,2026,"basis 2026 Q3"
361,MIRKS,"Mirpurkhas Sugar Mills Limited","Sugar & Allied Industries",0,2026,"basis 2026 H1"
362,PAKQATAR,"Pak Qatar Family Takaful Limited","Insurance",0,2026,"basis 2026 Q1"
363,PAKRI,"Pakistan Reinsurance Company Limited","Insurance",0,2026,"basis 2026 Q1"
364,RICL,"Reliance Insurance Company Limited","Insurance",0,2026,"basis 2026 Q1"
365,SEL,"Sitara Energy Limited","Power Generation & Distribution",0,2026,"basis 2026 9M"
366,SELECT,"Select Technologies Limited","Technology & Communication",0,,"NO DATA"
367,SIBL,"Security Investment Bank Limited","Inv. Banks / Inv. Cos. / Securities Cos.",0,2026,"basis 2025 FY"
368,SPAC1,"LSE SPAC-I Limited","Inv. Banks / Inv. Cos. / Securities Cos.",0,,"NO DATA"
369,SPAC2,"LSE SPAC-II Limited","Inv. Banks / Inv. Cos. / Securities Cos.",0,,"NO DATA"
370,UPFL,"Unilever Pakistan Foods Limited","Food & Personal Care Products",0,2026,"basis 2025 FY"
371,UVIC,"The Universal Insurance Company Limited","Insurance",0,2026,"basis 2026 Q1"
372,ZTL,"Zephyr Textiles Limited","Textile Weaving",0,2025,"STALE FY2025"
373,TPLI,"TPL Insurance Limited","Insurance",0,2026,"basis 2026 Q3"
374,TPLL,"TPL Life Insurance Limited","Insurance",0,2026,"basis 2025 FY"
375,AICL,"Adamjee Insurance Company Limited","Insurance",0,2026,"basis 2025 FY"
376,TSBL,"Trust Securities & Brokerage Limited","Inv. Banks / Inv. Cos. / Securities Cos.",0,2025,"STALE FY2025"
377,ARUJ,"Aruj Industries Limited","Textile Composite",0,2026,"basis 2025 FY"
378,ASC,"Al Shaheer Corporation Limited","Food & Personal Care Products",0,2026,"basis 2025 FY"
379,ASHT,"Ashfaq Textile Mills Limited","Textile Weaving",0,,"NO DATA"
380,ASIC,"Asia Insurance Company Limited","Insurance",0,2026,"basis 2026 Q1"
381,ATBA,"Atlas Battery Limited","Automobile Parts & Accessories",0,2026,"basis 2026 9M"
382,ATIL,"Atlas Insurance Limited","Insurance",0,2026,"basis 2025 FY"
383,BAFL,"Bank Alfalah Limited","Commercial Banks",0,2026,"basis 2025 FY"
384,CJPL,"Crescent Jute Products Limited","Jute",0,2025,"STALE FY2025"
385,COST,"(Colony) Sarhad Textile Mills Limited","",0,,"NO DATA"
386,CSIL,"Crescent Star Insurance Limited","Insurance",0,2026,"basis 2025 FY"
387,DBCI,"Dadabhoy Cement Industries Limited","Cement",0,2026,"basis 2026 Q1"
388,DEL,"Dawood Equities Limited","Inv. Banks / Inv. Cos. / Securities Cos.",0,2025,"STALE FY2025"
389,DSL,"Dost Steels Limited","Engineering",0,2026,"basis 2025 FY"
390,DWAE,"Dewan Automotive Engineering Limited","Automobile Parts & Accessories",0,2026,"basis 2025 FY"
391,DWSM,"Dewan Sugar Mills Limited","Sugar & Allied Industries",0,2026,"basis 2025 FY"
392,DWTM,"Dewan Textile Mills Limited","Textile Spinning",0,2026,"basis 2025 FY"
393,FIL,"Fateh Industries Limited","Leather & Tanneries",0,2026,"basis 2025 FY"
394,FML,"Feroze1888 Mills Limited","Textile Composite",0,2026,"basis 2026 9M"
395,FNEL,"First National Equities Limited","Inv. Banks / Inv. Cos. / Securities Cos.",0,2026,"basis 2026 9M"
396,FSWL,"Fateh Sports Wear Limited","Textile Composite",0,2026,"basis 2025 FY"
397,GSPM,"Gulshan Spinning Mills Limited","Textile Spinning",0,2026,"basis 2025 FY"
398,GUSM,"Gulistan Spinning Mills Limited","Textile Spinning",0,2026,"basis 2025 FY"
399,HAFL,"Hafiz Limited","Textile Composite",0,2026,"basis 2026 9M"
400,HAL,"Habib-ADM Limited","Sugar & Allied Industries",0,2019,"STALE FY2019"
401,HASCOL,"Hascol Petroleum Limited","Oil & Gas Marketing Companies",0,2026,"basis 2024 FY"
402,HWQS,"Haseeb Waqas Sugar Mills Limited","Sugar & Allied Industries",0,2026,"basis 2025 FY"
403,IGIL,"IGI Life Insurance Limited","Insurance",0,2026,"basis 2026 Q1"
404,IMS,"Intermarket Securities Limited","Inv. Banks / Inv. Cos. / Securities Cos.",0,2026,"basis 2026 Q3"
405,MSCL,"Metropolitan Steel Corporation Limited","Engineering",0,2026,"basis 2025 FY"
406,NCML,"Nazir Cotton Mills Limited","Textile Spinning",0,2026,"basis 2025 FY"
407,PIAHCLB,"PIA Holding Company LimitedB","Inv. Banks / Inv. Cos. / Securities Cos.",0,,"NO DATA"
408,PINL,"Premier Insurance Limited","Insurance",0,2026,"basis 2026 Q3"
409,PKGI,"The Pakistan General Insurance Co. Ltd.","Insurance",0,2025,"STALE FY2025"
410,PNSC,"Pakistan National Shipping Corporation","Transport",0,2026,"basis 2026 9M"
411,PQGTL,"Pak Qatar General Takaful Limited","Insurance",0,2026,"basis 2026 Q1"
412,PRWM,"Prosperity Weaving Mills Limited","Textile Weaving",0,2026,"basis 2026 Q3"
413,SHFA,"Shifa International Hospitals Limited","Miscellaneous",0,2026,"basis 2026 Q3"
414,SHNI,"Shaheen Insurance Company Limited","Insurance",0,2026,"basis 2026 Q1"
415,TGL,"Tariq Glass Industries Limited","Glass & Ceramics",0,2026,"basis 2026 Q3"
416,UNIC,"The United Insurance Company","Insurance",0,2026,"basis 2025 FY"
417,UNITY,"Unity Foods Limited","Food & Personal Care Products",0,2025,"STALE FY2025"
418,FEM,"First Equity Modaraba","Modarabas",0,2026,"basis 2025 FY"
419,PIM,"Popular Islamic Modaraba","Modarabas",0,2026,"basis 2026 9M"
420,SINDM,"Sindh Modaraba","Modarabas",0,2026,"basis 2026 9M"
421,WASL,"Wasl Mobility Modaraba","Modarabas",0,2026,"basis 2026 9M"
422,TRSM,"Trust Modaraba","Modarabas",0,2026,"basis 2026 Q3"
423,FIMM,"First Imrooz Modaraba","Modarabas",0,2026,"basis 2026 9M"
424,FTSM,"First Tri-Star Modaraba","Modarabas",0,2026,"basis 2026 9M"
425,UCAPM,"Unicap Modaraba","Modarabas",0,2024,"STALE FY2024"
