rank,ticker,company,sector,market_cap,latest_fiscal_year,status
96,SBL,"Samba Bank Limited","Commercial Banks",13611221750,2026,"ok"
97,MACTER,"Macter International Limited","Pharmaceuticals",12798682210,2026,"ok"
98,HUMNL,"Hum Network Limited","Technology & Communication",12791520000,2026,"basis 2025 FY"
99,SIEM,"Siemens (Pakistan) Engineering","Cable & Electrical Goods",12694334170,2026,"basis 2024 FY"
100,ZAHID,"Zahidjee Textile Mills Limited","Textile Composite",12637621150,2026,"ok"
101,CEPB,"Century Paper & Board Mills Limited","Paper, Board & Packaging",12605751620,2026,"basis 2025 FY"
102,BFBIO,"BF Biosciences Limited","Pharmaceuticals",12476200090,2026,"ok"
103,ASL,"Aisha Steel Mills Limited","Engineering",11802351530,2026,"ok"
104,ZAL,"Zarea Limited","Technology & Communication",11752125000,2026,"ok"
105,MCBIM,"MCB Investment Management Limited.","Inv. Banks / Inv. Cos. / Securities Cos.",11589120000,2026,"basis 2025 FY"
106,BFAGRO,"Barkat Frisian Agro Limited","Food & Personal Care Products",11584340650,2026,"basis 2025 FY"
107,TBL,"Treet Battery Limited.","Automobile Parts & Accessories",11540443220,2026,"basis 2025 FY"
108,NETSOL,"NetSol Technologies Limited","Technology & Communication",10958307870,2026,"ok"
109,SPEL,"SPEL Limited","Paper, Board & Packaging",10949528400,2026,"ok"
110,HABSM,"Habib Sugar Mills Limited","Sugar & Allied Industries",10898550000,2026,"basis 2025 FY"
111,HINO,"Hinopak Motors Limited","Automobile Assembler",10698459130,2026,"basis 2026 FY"
112,AMBL,"Apna Microfinance Bank Limited","Inv. Banks / Inv. Cos. / Securities Cos.",10231291340,2026,"ok"
113,GATI,"Gatron (Industries) Limited","Synthetic & Rayon",9725805470,2026,"ok"
114,NCL,"Nishat Chunian Limited","Textile Composite",9712814720,2026,"ok"
115,PTL,"Panther Tyres Ltd.","Automobile Parts & Accessories",9576000000,2026,"ok"
116,TREET,"Treet Corporation Limited","Food & Personal Care Products",9542861100,2026,"ok"
117,PCAL,"Pakistan Cables Limited","Cable & Electrical Goods",9338358040,2026,"ok"
118,OLPL,"OLP Financial Services Pakistan Limited","Inv. Banks / Inv. Cos. / Securities Cos.",8716006030,2026,"ok"
119,GVGL,"Ghani Value Glass Limited","Glass & Ceramics",8698145750,2026,"ok"
120,SEPL,"Security Papers Limited","Paper, Board & Packaging",8637744930,2026,"basis 2025 FY"
121,GADT,"Gadoon Textile Mills Limited","Textile Spinning",8612089380,2026,"basis 2025 FY"
122,GDL,"Ghani Dairies Limited","Food & Personal Care Products",8605460000,2026,"basis 2026 Q3"
123,TOMCL,"The Organic Meat Company Limited","Food & Personal Care Products",8448524570,2026,"basis 2025 FY"
