Metric,Value
Symbol,ESBL
Company Name,Escorts Investment Bank Limited
Price open,11.7
Price close,11.66
Price high,11.9
Price low,11.44
52 week high price,30.84
52 week low price,5.7
Market cap,1.58B
Shares outstanding,135.6M
Free float shares,20.34M
Weekly average volume,65.22K
Free Float %,15
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
