Metric,Value
Symbol,ABOT
Company Name,Abbott Laboratories (Pakistan) Limited
Price open,969.88
Price close,951.11
Price high,969.88
Price low,950
52 week high price,1.3K
52 week low price,821
Market cap,93.11B
Shares outstanding,97.9M
Free float shares,21.17M
Weekly average volume,30.9K
Free Float %,21.63
Dividend Yield (%),3.81
Earnings Per Share,84.85
Net Income Margin (%),10.97
Price to Book Value,2.76
Price to Earnings,10.45
PEG Ratio,0.63
