Metric,Value
Symbol,WAVESAPP
Company Name,Waves Home Appliances Limited
Price open,8.59
Price close,8.77
Price high,8.8
Price low,8.45
52 week high price,12.3
52 week low price,6.99
Market cap,2.35B
Shares outstanding,267.89M
Free float shares,160.73M
Weekly average volume,3.75M
Free Float %,60
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
