Metric,Value
Symbol,SELECT
Company Name,Select Technologies Limited
Price open,31
Price close,29.98
Price high,31.2
Price low,29.9
52 week high price,33.6
52 week low price,28.6
Market cap,26.65B
Shares outstanding,888.89M
Free float shares,88.89M
Weekly average volume,4.02M
Free Float %,10
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
