Metric,Value
Symbol,WAHDAT
Company Name,Wahdat Poultry Farm Limited
Price open,17.98
Price close,17.55
Price high,17.98
Price low,17.49
52 week high price,21.78
52 week low price,16.61
Market cap,5.88B
Shares outstanding,335.22M
Free float shares,83.81M
Weekly average volume,357.69K
Free Float %,25
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
