Metric,Value
Symbol,MUGHALC
Company Name,Mughal Iron & Steel Industries Ltd(C)
Price open,67
Price close,63
Price high,68.99
Price low,63
52 week high price,85
52 week low price,37.5
Market cap,2.08B
Shares outstanding,33.06M
Free float shares,3.31M
Weekly average volume,4.72K
Free Float %,10
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
