Metric,Value
Symbol,RICL
Company Name,Reliance Insurance Company Limited
Price open,12.3
Price close,12.39
Price high,12.75
Price low,11.7
52 week high price,22.58
52 week low price,11
Market cap,1.62B
Shares outstanding,130.61M
Free float shares,91.43M
Weekly average volume,24.19K
Free Float %,70
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
