Metric,Value
Symbol,TOMCL
Company Name,The Organic Meat Company Limited
Price open,39.69
Price close,37.93
Price high,39.8
Price low,37.75
52 week high price,75.85
52 week low price,28.3
Market cap,7.45B
Shares outstanding,196.34M
Free float shares,107.99M
Weekly average volume,2.23M
Free Float %,55
Dividend Yield (%),0
Earnings Per Share,1.84
Net Income Margin (%),2.74
Price to Book Value,1.13
Price to Earnings,16
PEG Ratio,2.25
