Metric,Value
Symbol,EMCO
Company Name,Emco Industries Limited
Price open,54.7
Price close,52.34
Price high,54.7
Price low,52.33
52 week high price,98.89
52 week low price,31.29
Market cap,1.83B
Shares outstanding,35M
Free float shares,10.5M
Weekly average volume,124.02K
Free Float %,30
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
