Metric,Value
Symbol,BHAT
Company Name,Bhanero Textile Mills Limited
Price open,829.99
Price close,806.37
Price high,829.99
Price low,790
52 week high price,1.04K
52 week low price,726.06
Market cap,2.45B
Shares outstanding,3.04M
Free float shares,152.05K
Weekly average volume,392.4
Free Float %,5
Dividend Yield (%),0
Earnings Per Share,30.09
Net Income Margin (%),0.28
Price to Book Value,0.23
Price to Earnings,29.74
PEG Ratio,3.89
