Metric,Value
Symbol,GUSM
Company Name,Gulistan Spinning Mills Limited
Price open,9.8
Price close,9.45
Price high,9.8
Price low,9.22
52 week high price,13.74
52 week low price,5.15
Market cap,138.36M
Shares outstanding,14.64M
Free float shares,11.71M
Weekly average volume,21.72K
Free Float %,80
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
