Metric,Value
Symbol,SINDM
Company Name,Sindh Modaraba
Price open,23.75
Price close,22.81
Price high,23.75
Price low,22.8
52 week high price,41.25
52 week low price,12
Market cap,1.03B
Shares outstanding,45M
Free float shares,4.5M
Weekly average volume,16.86K
Free Float %,10
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
