Metric,Value
Symbol,PTC
Company Name,Pakistan Telecommunication Company Ltd
Price open,74.6
Price close,73.96
Price high,75.5
Price low,72.66
52 week high price,75.5
52 week low price,21.51
Market cap,279.13B
Shares outstanding,3.77B
Free float shares,593.31M
Weekly average volume,15.08M
Free Float %,15.72
Dividend Yield (%),0
Earnings Per Share,-0.53
Net Income Margin (%),-0.94
Price to Book Value,7.11
Price to Earnings,-138.92
PEG Ratio,-6.56
