Metric,Value
Symbol,MCBIM
Company Name,MCB Investment Management Limited.
Price open,158.2
Price close,155.12
Price high,158.2
Price low,155
52 week high price,247.99
52 week low price,127.99
Market cap,11.17B
Shares outstanding,72M
Free float shares,10.8M
Weekly average volume,5.02K
Free Float %,15
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
