Metric,Value
Symbol,GATI
Company Name,Gatron (Industries) Limited
Price open,85.07
Price close,84.8
Price high,86.4
Price low,84.55
52 week high price,167.2
52 week low price,62.55
Market cap,9.22B
Shares outstanding,108.73M
Free float shares,16.31M
Weekly average volume,11.72K
Free Float %,15
Dividend Yield (%),0
Earnings Per Share,-10.67
Net Income Margin (%),-4.01
Price to Book Value,0.78
Price to Earnings,-7.95
PEG Ratio,-5.56
