Metric,Value
Symbol,ALIFE
Company Name,Adamjee Life Assurance Company Limited
Price open,32
Price close,32.48
Price high,33.98
Price low,30.62
52 week high price,45.45
52 week low price,29.84
Market cap,8.53B
Shares outstanding,262.5M
Free float shares,52.5M
Weekly average volume,1.48K
Free Float %,20
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
