Metric,Value
Symbol,TATM
Company Name,Tata Textile Mills Limited
Price open,133
Price close,128.73
Price high,133.56
Price low,127.22
52 week high price,311
52 week low price,82
Market cap,7.21B
Shares outstanding,55.99M
Free float shares,11.2M
Weekly average volume,36.77K
Free Float %,20
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
