Metric,Value
Symbol,ZAHID
Company Name,Zahidjee Textile Mills Limited
Price open,88.98
Price close,84.86
Price high,90.89
Price low,84
52 week high price,161
52 week low price,32.69
Market cap,16.24B
Shares outstanding,191.42M
Free float shares,5.94M
Weekly average volume,282.61K
Free Float %,3.11
Dividend Yield (%),0
Earnings Per Share,7.93
Net Income Margin (%),3.96
Price to Book Value,0.74
Price to Earnings,4.95
PEG Ratio,0.82
