Metric,Value
Symbol,786
Company Name,786 Investments Limited
Price open,24.94
Price close,24.59
Price high,24.94
Price low,24.1
52 week high price,68.72
52 week low price,8.71
Market cap,490.93M
Shares outstanding,19.96M
Free float shares,8.98M
Weekly average volume,23.2K
Free Float %,45
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
