Metric,Value
Symbol,SURC
Company Name,Suraj Cotton Mills Limited
Price open,140
Price close,137
Price high,140
Price low,136.99
52 week high price,152.48
52 week low price,88
Market cap,6.69B
Shares outstanding,48.81M
Free float shares,9.76M
Weekly average volume,3.96K
Free Float %,20
Dividend Yield (%),4.24
Earnings Per Share,29.17
Net Income Margin (%),5.06
Price to Book Value,0.46
Price to Earnings,3.37
PEG Ratio,0.81
