Metric,Value
Symbol,SHDT
Company Name,Shadab Textile Mills Limited
Price open,57.8
Price close,57.11
Price high,61.11
Price low,56.55
52 week high price,81
52 week low price,36.46
Market cap,1.3B
Shares outstanding,22.85M
Free float shares,8M
Weekly average volume,164.18K
Free Float %,35
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
