Metric,Value
Symbol,BELA
Company Name,Bela Automotives Limited
Price open,57.85
Price close,55.61
Price high,57.85
Price low,55.02
52 week high price,140
52 week low price,44.06
Market cap,322.54M
Shares outstanding,5.8M
Free float shares,1.45M
Weekly average volume,1.71K
Free Float %,25
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
