Metric,Value
Symbol,EPCL
Company Name,Engro Polymer & Chemicals Limited
Price open,33.68
Price close,32.68
Price high,33.68
Price low,32.51
52 week high price,39.32
52 week low price,27.01
Market cap,29.7B
Shares outstanding,908.92M
Free float shares,227.23M
Weekly average volume,2.28M
Free Float %,25
Dividend Yield (%),0
Earnings Per Share,-2.97
Net Income Margin (%),-3.28
Price to Book Value,1.43
Price to Earnings,-10.99
PEG Ratio,1.02
