Metric,Value
Symbol,CLVL
Company Name,Cordoba Logistics & Ventures Limited
Price open,17.8
Price close,16.33
Price high,17.8
Price low,16.3
52 week high price,24.65
52 week low price,11.3
Market cap,1.18B
Shares outstanding,72.11M
Free float shares,10.82M
Weekly average volume,55.85K
Free Float %,15
Dividend Yield (%),0
Earnings Per Share,1.87
Net Income Margin (%),15
Price to Book Value,1.19
Price to Earnings,6.58
PEG Ratio,-0.01
