Metric,Value
Symbol,PPP
Company Name,Pakistan Paper Products Limited
Price open,135
Price close,135.48
Price high,138.99
Price low,135
52 week high price,279
52 week low price,91
Market cap,1.08B
Shares outstanding,8M
Free float shares,4M
Weekly average volume,5.99K
Free Float %,50
Dividend Yield (%),2.98
Earnings Per Share,17.67
Net Income Margin (%),7.84
Price to Book Value,0.6
Price to Earnings,5.77
PEG Ratio,0.3
