Metric,Value
Symbol,ATLH
Company Name,Atlas Honda Limited
Price open,1.65K
Price close,1.65K
Price high,1.66K
Price low,1.64K
52 week high price,1.93K
52 week low price,1.03K
Market cap,204.43B
Shares outstanding,124.09M
Free float shares,12.41M
Weekly average volume,4.94K
Free Float %,10
Dividend Yield (%),6.65
Earnings Per Share,170.21
Net Income Margin (%),7.71
Price to Book Value,4.4
Price to Earnings,9.01
PEG Ratio,0.1
