Metric,Value
Symbol,SYM
Company Name,Symmetry Group Limited
Price open,11.46
Price close,11.19
Price high,11.59
Price low,11.01
52 week high price,17.04
52 week low price,9.01
Market cap,3.19B
Shares outstanding,285.25M
Free float shares,156.89M
Weekly average volume,1.86M
Free Float %,55
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
