Metric,Value
Symbol,MEHT
Company Name,Mehmood Textile Mills Limited
Price open,196
Price close,195.55
Price high,200
Price low,195
52 week high price,389
52 week low price,190
Market cap,5.87B
Shares outstanding,30M
Free float shares,19.5M
Weekly average volume,24.61K
Free Float %,65
Dividend Yield (%),0
Earnings Per Share,39.74
Net Income Margin (%),1.87
Price to Book Value,0.31
Price to Earnings,5.65
PEG Ratio,0.12
