Metric,Value
Symbol,CSIL
Company Name,Crescent Star Insurance Limited
Price open,5.55
Price close,5.42
Price high,5.57
Price low,5.35
52 week high price,14.24
52 week low price,3.12
Market cap,805.52M
Shares outstanding,148.62M
Free float shares,148.42M
Weekly average volume,876.58K
Free Float %,99.87
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
