Metric,Value
Symbol,DADX
Company Name,Dadex Eternit Limited
Price open,97.99
Price close,95.7
Price high,97.99
Price low,89.02
52 week high price,121.88
52 week low price,42.75
Market cap,1.03B
Shares outstanding,10.76M
Free float shares,538.2K
Weekly average volume,781.5
Free Float %,5
Dividend Yield (%),0
Earnings Per Share,-30.29
Net Income Margin (%),-37.21
Price to Book Value,3.97
Price to Earnings,-3.16
PEG Ratio,0.05
