Metric,Value
Symbol,GHNI
Company Name,Ghandhara Industries Limited
Price open,1.14K
Price close,1.13K
Price high,1.16K
Price low,1.12K
52 week high price,1.29K
52 week low price,590
Market cap,48.25B
Shares outstanding,42.61M
Free float shares,14.91M
Weekly average volume,603.39K
Free Float %,35
Dividend Yield (%),1.54
Earnings Per Share,162.33
Net Income Margin (%),11.84
Price to Book Value,2.62
Price to Earnings,3.78
PEG Ratio,0.02
