Metric,Value
Symbol,PAKOXY
Company Name,Pakistan Oxygen Limited
Price open,297
Price close,287.11
Price high,297.8
Price low,283
52 week high price,356.68
52 week low price,206
Market cap,25.01B
Shares outstanding,87.12M
Free float shares,21.78M
Weekly average volume,1.64K
Free Float %,25
Dividend Yield (%),0
Earnings Per Share,22.58
Net Income Margin (%),14.35
Price to Book Value,2.01
Price to Earnings,10.63
PEG Ratio,0.15
