Metric,Value
Symbol,KHTC
Company Name,Khyber Tobacco Company Limited
Price open,325
Price close,313.17
Price high,325
Price low,305
52 week high price,532
52 week low price,246.1
Market cap,2.17B
Shares outstanding,6.92M
Free float shares,997.25K
Weekly average volume,10.99K
Free Float %,14.41
Dividend Yield (%),0
Earnings Per Share,-32.24
Net Income Margin (%),-2.64
Price to Book Value,0.8
Price to Earnings,3.17
PEG Ratio,-0.19
