Metric,Value
Symbol,BWHL
Company Name,Baluchistan Wheels Limited
Price open,232.43
Price close,230.51
Price high,232.43
Price low,227.01
52 week high price,257.92
52 week low price,147
Market cap,3.07B
Shares outstanding,13.33M
Free float shares,7.33M
Weekly average volume,21.1K
Free Float %,55
Dividend Yield (%),9.05
Earnings Per Share,29.35
Net Income Margin (%),14.67
Price to Book Value,1.3
Price to Earnings,6
PEG Ratio,0.06
