Metric,Value
Symbol,SERT
Company Name,Service Industries Textiles Limited
Price open,63.16
Price close,62.27
Price high,69
Price low,62.27
52 week high price,84.49
52 week low price,19.17
Market cap,858.55M
Shares outstanding,13.79M
Free float shares,2.07M
Weekly average volume,214.82K
Free Float %,15
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
