Metric,Value
Symbol,UCAPM
Company Name,Unicap Modaraba
Price open,6.64
Price close,6.34
Price high,6.9
Price low,6.25
52 week high price,8.3
52 week low price,3.15
Market cap,149.88M
Shares outstanding,23.64M
Free float shares,14.18M
Weekly average volume,1.28M
Free Float %,60
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
