Metric,Value
Symbol,NONS
Company Name,Noon Sugar Mills Limited
Price open,103.5
Price close,102.79
Price high,103.5
Price low,100.04
52 week high price,157.1
52 week low price,70.02
Market cap,1.7B
Shares outstanding,16.52M
Free float shares,3.3M
Weekly average volume,28.8K
Free Float %,20
Dividend Yield (%),4.44
Earnings Per Share,39.15
Net Income Margin (%),4.55
Price to Book Value,0.81
Price to Earnings,1.93
PEG Ratio,0.18
