Metric,Value
Symbol,DSL
Company Name,Dost Steels Limited
Price open,5.24
Price close,5.1
Price high,5.24
Price low,5.09
52 week high price,10.8
52 week low price,4.97
Market cap,2.27B
Shares outstanding,444.7M
Free float shares,222.35M
Weekly average volume,644.71K
Free Float %,50
Dividend Yield (%),0
Earnings Per Share,0.71
Net Income Margin (%),-
Price to Book Value,0.36
Price to Earnings,7.64
PEG Ratio,-1.44
