Metric,Value
Symbol,ITTEFAQ
Company Name,Ittefaq Iron Industries Limited
Price open,9.3
Price close,9.13
Price high,9.47
Price low,9.08
52 week high price,12.64
52 week low price,5.75
Market cap,1.32B
Shares outstanding,144.34M
Free float shares,93.82M
Weekly average volume,11.31M
Free Float %,65
Dividend Yield (%),0
Earnings Per Share,-3.91
Net Income Margin (%),-27.88
Price to Book Value,0.45
Price to Earnings,-2.34
PEG Ratio,-
