Metric,Value
Symbol,GEMNETS
Company Name,Nets International Communication Limited
Price open,28.9
Price close,29
Price high,29
Price low,28.9
52 week high price,52.8
52 week low price,17
Market cap,1.07B
Shares outstanding,36.76M
Free float shares,3.68M
Weekly average volume,864.33
Free Float %,10
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
