Metric,Value
Symbol,CPHL
Company Name,Citi Pharma Ltd.
Price open,75
Price close,74.81
Price high,75.75
Price low,74.63
52 week high price,104.25
52 week low price,69.25
Market cap,17.09B
Shares outstanding,228.46M
Free float shares,114.23M
Weekly average volume,784.26K
Free Float %,50
Dividend Yield (%),4.17
Earnings Per Share,4.8
Net Income Margin (%),7.92
Price to Book Value,1.56
Price to Earnings,15.19
PEG Ratio,-
