Metric,Value
Symbol,SLM
Company Name,Service Long March Tyres Limited
Price open,24.48
Price close,24.17
Price high,24.59
Price low,24.09
52 week high price,26.25
52 week low price,21.95
Market cap,188.4B
Shares outstanding,7.79B
Free float shares,779.48M
Weekly average volume,5.56M
Free Float %,10
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
