Metric,Value
Symbol,TBL
Company Name,Treet Battery Limited.
Price open,10.07
Price close,9.84
Price high,10.07
Price low,9.73
52 week high price,15.15
52 week low price,8
Market cap,10.65B
Shares outstanding,1.08B
Free float shares,270.65M
Weekly average volume,1.72M
Free Float %,25
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
