Metric,Value
Symbol,ELCM
Company Name,Elahi Cotton Mills Limited
Price open,247
Price close,236.09
Price high,247
Price low,231
52 week high price,343.44
52 week low price,124
Market cap,306.92M
Shares outstanding,1.3M
Free float shares,260K
Weekly average volume,405
Free Float %,20
Dividend Yield (%),0
Earnings Per Share,-24.15
Net Income Margin (%),-3.34
Price to Book Value,4.52
Price to Earnings,16.15
PEG Ratio,0.16
