Metric,Value
Symbol,KEL
Company Name,K-Electric Limited
Price open,8.27
Price close,8.17
Price high,8.3
Price low,8.15
52 week high price,9.58
52 week low price,4.91
Market cap,225.62B
Shares outstanding,27.62B
Free float shares,2.76B
Weekly average volume,29.58M
Free Float %,10
Dividend Yield (%),0
Earnings Per Share,0.42
Net Income Margin (%),2.19
Price to Book Value,1.96
Price to Earnings,19.59
PEG Ratio,-
