Metric,Value
Symbol,ALAC
Company Name,Askari Life Assurance Company Limited
Price open,21.3
Price close,23
Price high,25.4
Price low,21.3
52 week high price,27.99
52 week low price,8.51
Market cap,3.45B
Shares outstanding,150.17M
Free float shares,37.54M
Weekly average volume,491.37K
Free Float %,25
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
