Metric,Value
Symbol,MRNS
Company Name,Mehran Sugar Mills Limited
Price open,64.89
Price close,63.4
Price high,65.4
Price low,63.1
52 week high price,94.01
52 week low price,52.32
Market cap,4.75B
Shares outstanding,74.93M
Free float shares,26.22M
Weekly average volume,39.21K
Free Float %,35
Dividend Yield (%),11.22
Earnings Per Share,22.15
Net Income Margin (%),14.35
Price to Book Value,1.02
Price to Earnings,2.61
PEG Ratio,-
