Metric,Value
Symbol,JSRR
Company Name,JS Rental REIT
Price open,10.95
Price close,10.61
Price high,10.95
Price low,10.51
52 week high price,12
52 week low price,9.01
Market cap,2.28B
Shares outstanding,214.55M
Free float shares,42.91M
Weekly average volume,14.6K
Free Float %,20
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
