Metric,Value
Symbol,TOWL
Company Name,Towellers Limited
Price open,125.66
Price close,123.42
Price high,126.55
Price low,122
52 week high price,195.95
52 week low price,92.5
Market cap,2.1B
Shares outstanding,17M
Free float shares,3.4M
Weekly average volume,8.08K
Free Float %,20
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
