Metric,Value
Symbol,FCSC
Company Name,First Capital Securities Corporation
Price open,4.91
Price close,4.77
Price high,4.93
Price low,4.71
52 week high price,10.34
52 week low price,2.65
Market cap,1.51B
Shares outstanding,316.61M
Free float shares,158.31M
Weekly average volume,1M
Free Float %,50
Dividend Yield (%),0
Earnings Per Share,3.24
Net Income Margin (%),49.64
Price to Book Value,0.68
Price to Earnings,1.38
PEG Ratio,0.03
