Metric,Value
Symbol,MQTM
Company Name,Maqbool Textile Mills Limited
Price open,35
Price close,37.14
Price high,37.27
Price low,30.6
52 week high price,49
52 week low price,17.97
Market cap,684.56M
Shares outstanding,18.43M
Free float shares,4.61M
Weekly average volume,190.81K
Free Float %,25
Dividend Yield (%),0
Earnings Per Share,-79.43
Net Income Margin (%),-17.35
Price to Book Value,2.16
Price to Earnings,-0.47
PEG Ratio,0.01
