Metric,Value
Symbol,TREET
Company Name,Treet Corporation Limited
Price open,23.19
Price close,22.8
Price high,23.19
Price low,22.75
52 week high price,37
52 week low price,19.55
Market cap,8.46B
Shares outstanding,371.03M
Free float shares,185.51M
Weekly average volume,2.2M
Free Float %,50
Dividend Yield (%),0
Earnings Per Share,1.29
Net Income Margin (%),1.81
Price to Book Value,1.04
Price to Earnings,15.56
PEG Ratio,0.49
