Metric,Value
Symbol,INKL
Company Name,International Knitwear Limited
Price open,92.79
Price close,90.72
Price high,94.99
Price low,87
52 week high price,126
52 week low price,30.15
Market cap,877.72M
Shares outstanding,9.68M
Free float shares,3.87M
Weekly average volume,2.05K
Free Float %,40
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
