Metric,Value
Symbol,AGP
Company Name,AGP Limited
Price open,198.75
Price close,195.87
Price high,199.99
Price low,194.12
52 week high price,258.67
52 week low price,163
Market cap,54.84B
Shares outstanding,280M
Free float shares,84M
Weekly average volume,294.86K
Free Float %,30
Dividend Yield (%),3.94
Earnings Per Share,13.41
Net Income Margin (%),13.14
Price to Book Value,3.36
Price to Earnings,12.7
PEG Ratio,0.26
