Metric,Value
Symbol,PSYL
Company Name,Pakistan Synthetics Limited
Price open,153
Price close,154.78
Price high,156
Price low,146.01
52 week high price,158
52 week low price,52.26
Market cap,21.47B
Shares outstanding,138.7M
Free float shares,6.93M
Weekly average volume,13.15K
Free Float %,5
Dividend Yield (%),0
Earnings Per Share,3.38
Net Income Margin (%),3.07
Price to Book Value,4.27
Price to Earnings,18.91
PEG Ratio,1.19
