Metric,Value
Symbol,GAMON
Company Name,Gammon Pakistan Limited
Price open,20.01
Price close,20.71
Price high,20.99
Price low,19
52 week high price,32.1
52 week low price,13.66
Market cap,585.39M
Shares outstanding,28.27M
Free float shares,3.65M
Weekly average volume,29.01K
Free Float %,12.93
Dividend Yield (%),0
Earnings Per Share,-
Net Income Margin (%),-
Price to Book Value,0.75
Price to Earnings,0
PEG Ratio,-
