Metric,Value
Symbol,OML
Company Name,Olympia Mills Limited
Price open,104
Price close,107.58
Price high,107.72
Price low,93.08
52 week high price,107.72
52 week low price,25.8
Market cap,1.29B
Shares outstanding,12M
Free float shares,1.2M
Weekly average volume,85.56K
Free Float %,10
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
