Metric,Value
Symbol,ELSM
Company Name,Ellcot Spinning Mills Limited
Price open,115
Price close,122.59
Price high,115
Price low,113.5
52 week high price,138
52 week low price,99
Market cap,1.34B
Shares outstanding,10.95M
Free float shares,3.29M
Weekly average volume,410
Free Float %,30
Dividend Yield (%),3.92
Earnings Per Share,3.97
Net Income Margin (%),0.28
Price to Book Value,0.31
Price to Earnings,26.55
PEG Ratio,-27.83
