Metric,Value
Symbol,CSAP
Company Name,Crescent Steel & Allied Products Limited
Price open,107.23
Price close,105.09
Price high,108.95
Price low,104.9
52 week high price,143.5
52 week low price,78.25
Market cap,8.16B
Shares outstanding,77.63M
Free float shares,34.93M
Weekly average volume,362.13K
Free Float %,45
Dividend Yield (%),7.4
Earnings Per Share,5.08
Net Income Margin (%),4.79
Price to Book Value,0.91
Price to Earnings,17.36
PEG Ratio,2.97
