Metric,Value
Symbol,TSBL
Company Name,Trust Securities & Brokerage Limited
Price open,2.03
Price close,2
Price high,2.06
Price low,1.97
52 week high price,66.96
52 week low price,1.21
Market cap,1.5B
Shares outstanding,750M
Free float shares,487.5M
Weekly average volume,7.61M
Free Float %,65
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
