Metric,Value
Symbol,REDCO
Company Name,Redco Textiles Limited
Price open,32
Price close,31.55
Price high,34.64
Price low,31
52 week high price,40.4
52 week low price,14.9
Market cap,1.56B
Shares outstanding,49.29M
Free float shares,2.46M
Weekly average volume,6.79K
Free Float %,5
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
