Metric,Value
Symbol,HRPL
Company Name,Habib Rice Product Limited.
Price open,20.9
Price close,20.05
Price high,20.9
Price low,20
52 week high price,37
52 week low price,16.51
Market cap,802M
Shares outstanding,40M
Free float shares,8M
Weekly average volume,74.67K
Free Float %,20
Dividend Yield (%),0
Earnings Per Share,-3.09
Net Income Margin (%),-5.61
Price to Book Value,1.08
Price to Earnings,16.07
PEG Ratio,0.29
